component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
Kitchen_Sink_Bowl_Detail_Overflow,0.0572,0.0028,0.0046,0.0,-0.0,0.0
Kitchen_Sink_Rim,0.6,0.43,0.025,4.93,8.45,0.92
Kitchen_Tap_Spout,0.025,0.24,0.025,4.93,8.58,1.27
Kitchen_Tap_Stem,0.025,0.025,0.36,4.93,8.69,1.1
Kitchen_Tap_Stem_Detail_Mixer_Handle,0.06,0.015,0.0576,0.0,-0.0,0.0
Kitchen_West_Base_Carcass,0.6,2.05,0.76,3.92,7.6,0.48
Kitchen_West_Base_Front_01,0.022,0.5065,0.752,4.231,6.8313,0.48
Kitchen_West_Base_Front_01_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Kitchen_West_Base_Front_02,0.022,0.5065,0.752,4.231,7.3438,0.48
Kitchen_West_Base_Front_02_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Kitchen_West_Base_Front_03,0.022,0.5065,0.752,4.231,7.8562,0.48
Kitchen_West_Base_Front_03_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Kitchen_West_Base_Front_04,0.022,0.5065,0.752,4.231,8.3687,0.48
Kitchen_West_Base_Front_04_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Kitchen_West_Base_Recessed_Plinth,0.52,1.99,0.1,3.92,7.6,0.05
Kitchen_West_Counter,0.64,2.07,0.04,3.92,7.6,0.89
Kitchen_West_Upper_Carcass,0.36,1.94,0.67,3.82,7.61,2.015
Kitchen_West_Upper_Front_01,0.022,0.479,0.662,4.011,6.8825,2.015
Kitchen_West_Upper_Front_01_Detail_Satin_Pull,0.016,0.014,0.331,0.0,-0.0,0.0
Kitchen_West_Upper_Front_02,0.022,0.479,0.662,4.011,7.3675,2.015
Kitchen_West_Upper_Front_02_Detail_Satin_Pull,0.016,0.014,0.331,0.0,-0.0,0.0
Kitchen_West_Upper_Front_03,0.022,0.479,0.662,4.011,7.8525,2.015
Kitchen_West_Upper_Front_03_Detail_Satin_Pull,0.016,0.014,0.331,0.0,-0.0,0.0
Kitchen_West_Upper_Front_04,0.022,0.479,0.662,4.011,8.3375,2.015
Kitchen_West_Upper_Front_04_Detail_Satin_Pull,0.016,0.014,0.331,0.0,-0.0,0.0
Living_Coffee_Table_Base,0.46,0.46,0.32,1.72,1.85,0.17
Living_Coffee_Table_Top,0.76,0.76,0.07,1.72,1.85,0.37
Living_Coffee_Table_Top_Detail_Inlaid_Edge,0.7368,0.7368,0.003,0.0,-0.0,0.0
Living_Media_Console_Carcass,0.36,2.05,0.36,3.09,1.85,0.34
Living_Media_Console_Front_01,0.022,0.5065,0.352,2.899,1.0812,0.34
Living_Media_Console_Front_01_Detail_Satin_Pull,0.016,0.014,0.176,0.0,-0.0,0.0
Living_Media_Console_Front_02,0.022,0.5065,0.352,2.899,1.5938,0.34
Living_Media_Console_Front_02_Detail_Satin_Pull,0.016,0.014,0.176,0.0,-0.0,0.0
Living_Media_Console_Front_03,0.022,0.5065,0.352,2.899,2.1063,0.34
Living_Media_Console_Front_03_Detail_Satin_Pull,0.016,0.014,0.176,0.0,-0.0,0.0
Living_Media_Console_Front_04,0.022,0.5065,0.352,2.899,2.6188,0.34
